"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","HTI",0.004898,-0.021095,0.026242,0.004956
"Cholera","HTI",0.441107,0.069915,4.115695,0.084493
"HPV","HTI",10.298099,8.452443,12.004489,10.255533
"HepB","HTI",2.714503,2.136275,3.345873,2.697339
"Hib","HTI",3.98925,0.860973,7.089346,3.990665
"Measles","HTI",7.294992,5.609366,8.872125,7.307567
"PCV","HTI",3.300804,-2.375614,8.312992,3.340202
"Rota","HTI",1.316365,-0.064139,2.653007,1.343175
"Rubella","HTI",0.017872,-0.075705,0.110566,0.017142
"Typhoid","HTI",0.33776,0.020082,1.082939,0.271778
