"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","TCD",0.008285,-0.056935,0.055973,0.011195
"HPV","TCD",6.352739,4.518602,8.888623,6.211589
"HepB","TCD",7.667537,5.87363,10.219146,7.508799
"Hib","TCD",8.380699,3.389782,13.011077,8.171164
"Measles","TCD",14.288077,12.375082,15.871231,14.373564
"Meningitis","TCD",0.641649,0.355005,0.863087,0.643649
"PCV","TCD",5.826538,-23.489449,28.731581,6.125462
"Rota","TCD",10.574315,-3.129966,23.909355,9.990565
"Rubella","TCD",0.357371,-0.013225,1.359358,0.263203
"Typhoid","TCD",6.000451,1.990032,12.753531,5.559265
"YF","TCD",0.859562,0.258441,1.874284,0.784503
