"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","NER",0.050188,-0.031683,0.122511,0.049612
"HPV","NER",6.810054,4.808482,10.226876,6.522025
"HepB","NER",6.756527,5.681115,7.914522,6.756839
"Hib","NER",8.336903,6.043971,11.313321,8.170554
"Measles","NER",14.316083,12.029318,16.125689,14.397981
"Meningitis","NER",0.691667,0.314527,1.030273,0.693859
"PCV","NER",4.581886,3.499444,5.68884,4.560416
"Rota","NER",3.559875,3.187057,3.94953,3.558377
"Rubella","NER",0.663353,0.053236,2.289544,0.519521
"Typhoid","NER",1.339681,0.223327,5.461072,0.904035
"YF","NER",1.228121,0.324655,2.777149,1.094302
