"disease","Counts","lower_bound","upper_bound"
"COVID-19",2,-1.11,-1.108
"JE",5,-1.109,-1.104
"Rubella",1,-1.107,-1.104
"Typhoid",4,-1.105,-1.099
"Cholera",10,-1.104,-1.094
"JE",5,-1.104,-1.1
"Rubella",1,-1.104,-1.1
"COVID-19",1,-1.102,-1.101
"COVID-19",1,-1.101,-1.099
"JE",6,-1.1,-1.095
"Rubella",3,-1.1,-1.096
"COVID-19",1,-1.099,-1.097
"Typhoid",3,-1.099,-1.094
"COVID-19",1,-1.096,-1.094
"Rubella",1,-1.096,-1.093
"JE",2,-1.095,-1.091
"COVID-19",1,-1.094,-1.093
"Cholera",17,-1.094,-1.083
"Typhoid",2,-1.094,-1.088
"COVID-19",2,-1.093,-1.091
"Rubella",1,-1.093,-1.089
"JE",9,-1.091,-1.086
"Rubella",3,-1.089,-1.085
"COVID-19",1,-1.088,-1.087
"Typhoid",2,-1.088,-1.082
"COVID-19",1,-1.087,-1.085
"JE",10,-1.086,-1.082
"COVID-19",1,-1.085,-1.083
"Cholera",16,-1.083,-1.073
"YF",1,-1.083,-1.074
"COVID-19",1,-1.082,-1.08
"JE",4,-1.082,-1.077
"Rubella",1,-1.082,-1.078
"COVID-19",2,-1.08,-1.079
"COVID-19",1,-1.079,-1.077
"COVID-19",1,-1.077,-1.076
"JE",7,-1.077,-1.073
"COVID-19",1,-1.076,-1.074
"Typhoid",5,-1.076,-1.071
"COVID-19",1,-1.074,-1.073
"COVID-19",2,-1.073,-1.071
"Cholera",7,-1.073,-1.063
"JE",4,-1.073,-1.068
"COVID-19",1,-1.071,-1.069
"Rubella",1,-1.071,-1.067
"Typhoid",5,-1.071,-1.065
"COVID-19",1,-1.068,-1.066
"JE",3,-1.068,-1.064
"Rubella",5,-1.067,-1.063
"Typhoid",1,-1.065,-1.059
"JE",9,-1.064,-1.059
"Cholera",16,-1.063,-1.052
"Rubella",3,-1.063,-1.059
"COVID-19",3,-1.06,-1.058
"JE",5,-1.059,-1.055
"Rubella",3,-1.059,-1.056
"Typhoid",3,-1.059,-1.054
"YF",1,-1.059,-1.051
"COVID-19",1,-1.058,-1.057
