"disease","subregion","mean_value","lower_95","upper_95","median_value"
"Rota","Eastern Africa",51.739829,19.595041,90.404864,50.28076
"Rota","Western Africa",103.586987,-108.002268,254.487343,99.145801
"Rota","Southern Africa",27.994998,-11.609201,56.860402,24.107687
"Rota","Central and Southern Asia",32.425143,-50.750056,139.325434,28.206647
"Rota","Eastern and South-Eastern Asia",20.4563,-26.920587,121.985722,12.192852
"Rota","Eastern and Southern Europe",1.345144,-14.553154,15.119219,1.685257
"Rota","Latin America and the Caribbean",23.584431,12.957543,41.764883,22.603796
"Rota","Oceania",59.336502,-234.498684,343.236514,60.300095
"Rubella","Middle Africa",22.356158,-2.137192,72.470975,17.825815
"Rubella","Northern Africa and Western Asia",12.010611,3.414105,22.529573,12.02471
"Rubella","Eastern Africa",22.121553,7.529718,45.625788,20.426375
"Rubella","Western Africa",33.047852,7.894155,83.596486,26.533951
"Rubella","Southern Africa",8.410463,-12.127582,26.705995,8.741445
"Rubella","Central and Southern Asia",18.765237,4.875042,46.171086,13.405497
"Rubella","Eastern and South-Eastern Asia",9.455278,3.610305,18.752097,9.002553
"Rubella","Eastern and Southern Europe",12.283526,2.878056,30.28075,10.396992
"Rubella","Latin America and the Caribbean",11.030389,3.862821,21.067026,10.456658
"Rubella","Oceania",29.203435,5.146274,78.17727,22.573105
"Typhoid","Middle Africa",96.058445,12.214569,458.349095,54.999869
"Typhoid","Northern Africa and Western Asia",29.319947,1.275721,152.261518,16.636432
"Typhoid","Eastern Africa",50.212183,11.223819,231.504553,32.254111
"Typhoid","Western Africa",52.117846,18.508061,139.450517,43.242338
"Typhoid","Southern Africa",15.079644,0.658367,74.740388,7.105808
"Typhoid","Central and Southern Asia",5.288591,1.20019,16.376373,4.324897
"Typhoid","Eastern and South-Eastern Asia",7.372403,1.614239,36.427373,4.588472
"Typhoid","Eastern and Southern Europe",1.852442,0,12.144998,0.330562
"Typhoid","Latin America and the Caribbean",6.333574,1.405452,22.628595,4.671574
"Typhoid","Oceania",181.45073,3.572216,766.543913,86.764435
"YF","Middle Africa",97.019637,8.189406,281.112294,78.403906
"YF","Northern Africa and Western Asia",79.7319,1.419437,320.216319,36.851089
"YF","Eastern Africa",15.506064,3.731655,40.380218,13.892575
"YF","Western Africa",96.183589,30.691961,237.952485,82.234606
"YF","Latin America and the Caribbean",100.446153,24.795732,238.496664,91.329521
