"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"JE","Oceania","routine",99.274066,3.435073,250.29758,35.315572
"Malaria","Middle Africa","routine",245.425956,137.985053,375.893826,241.266682
"Malaria","Northern Africa and Western Asia","routine",109.129673,7.517547,378.048661,97.554235
"Malaria","Eastern Africa","routine",174.804021,109.416814,242.261182,174.322092
"Malaria","Western Africa","routine",207.801401,157.338043,283.184144,203.31704
"Measles","Middle Africa","campaign",215.007335,160.774382,260.979846,214.172449
"Measles","Middle Africa","routine",1543.322642,1141.284947,2004.685718,1550.155553
"Measles","Northern Africa and Western Asia","campaign",33.756713,19.192358,53.904817,32.87247
"Measles","Northern Africa and Western Asia","routine",597.845848,384.915819,828.739939,596.129188
"Measles","Eastern Africa","campaign",133.441985,93.835657,175.640167,130.867328
"Measles","Eastern Africa","routine",920.467712,671.046042,1199.413232,913.791555
"Measles","Western Africa","campaign",152.799383,105.328162,192.043998,153.011689
"Measles","Western Africa","routine",1534.333328,1105.408781,1991.755063,1530.319539
"Measles","Southern Africa","campaign",17.000362,2.604719,36.01246,16.894117
"Measles","Southern Africa","routine",408.949324,161.107608,746.815615,461.504412
"Measles","Central and Southern Asia","campaign",61.863786,42.423496,83.549418,61.019881
"Measles","Central and Southern Asia","routine",770.915294,542.321056,1058.008736,759.745772
"Measles","Eastern and South-Eastern Asia","campaign",19.010145,10.892096,29.000042,18.720487
"Measles","Eastern and South-Eastern Asia","routine",401.638057,205.291124,645.958057,392.443675
"Measles","Eastern and Southern Europe","campaign",18.334372,3.390913,36.406511,17.109242
"Measles","Eastern and Southern Europe","routine",220.271311,126.924066,328.406107,215.599488
"Measles","Latin America and the Caribbean","campaign",31.845819,15.52534,53.002127,31.317051
"Measles","Latin America and the Caribbean","routine",779.486068,487.43604,1078.130756,775.089423
"Measles","Oceania","campaign",128.873361,82.760033,202.184552,108.171041
"Measles","Oceania","routine",864.075804,438.896299,1539.245939,570.922935
"MenA","Middle Africa","campaign",30.636964,23.285301,40.11346,30.263528
"MenA","Middle Africa","routine",33.100984,19.823697,48.538732,32.666618
"MenA","Northern Africa and Western Asia","campaign",49.525318,34.780686,64.271987,49.631172
"MenA","Northern Africa and Western Asia","routine",18.260571,8.181919,28.364366,18.644627
"MenA","Eastern Africa","campaign",29.294716,21.515006,38.292406,29.453491
"MenA","Eastern Africa","routine",83.981725,43.958206,123.512165,83.736807
"MenA","Western Africa","campaign",43.243832,34.928643,50.897154,43.420575
"MenA","Western Africa","routine",16.280574,10.271043,22.091794,16.238474
"MenACWYX","Middle Africa","campaign",59.291725,33.816172,87.9027,58.455033
"MenACWYX","Middle Africa","routine",42.715151,28.874513,55.793608,43.018437
"MenACWYX","Northern Africa and Western Asia","campaign",67.485362,19.314035,113.327134,68.334137
"MenACWYX","Northern Africa and Western Asia","routine",39.74436,19.95348,57.196971,40.104434
"MenACWYX","Eastern Africa","campaign",62.880049,26.839221,94.904225,62.657497
"MenACWYX","Eastern Africa","routine",44.462479,27.317021,59.603714,45.289199
"MenACWYX","Western Africa","campaign",55.755254,32.722658,81.087732,54.947315
"MenACWYX","Western Africa","routine",33.762952,24.235646,43.088478,34.094306
"PCV","Middle Africa","routine",234.39518,53.249939,543.295081,208.459237
"PCV","Northern Africa and Western Asia","routine",90.865372,33.759507,172.444873,84.402818
"PCV","Eastern Africa","routine",125.03232,56.925354,222.118722,118.304142
"PCV","Western Africa","routine",159.437981,31.220655,373.096691,140.307206
"PCV","Southern Africa","routine",49.436193,-1.155212,126.59534,47.585674
"PCV","Central and Southern Asia","routine",84.875167,-51.033936,271.914594,70.991359
"PCV","Eastern and South-Eastern Asia","routine",50.347944,-37.360852,195.263766,35.836892
