"disease","subregion","mean_value","lower_95","upper_95","median_value"
"Rota","Eastern Africa",0.880774,0.300538,1.535212,0.868777
"Rota","Western Africa",2.315917,-2.678997,4.843987,2.13581
"Rota","Southern Africa",0.443509,-0.222502,0.883541,0.412468
"Rota","Central and Southern Asia",0.471701,-0.669348,1.867256,0.41159
"Rota","Eastern and South-Eastern Asia",0.27934,-0.437935,1.380079,0.177059
"Rota","Eastern and Southern Europe",0.017732,-0.167125,0.217628,0.01443
"Rota","Latin America and the Caribbean",0.333164,0.177742,0.600269,0.309958
"Rota","Oceania",1.078209,-3.640082,4.75419,0.62028
"Rubella","Middle Africa",0.254074,-0.027292,0.826205,0.211731
"Rubella","Northern Africa and Western Asia",0.153601,0.062657,0.281594,0.147899
"Rubella","Eastern Africa",0.270383,0.109326,0.554906,0.246076
"Rubella","Western Africa",0.408623,0.096754,1.087335,0.345793
"Rubella","Southern Africa",0.12304,-0.257585,0.515034,0.11757
"Rubella","Central and Southern Asia",0.238242,0.071194,0.55963,0.204642
"Rubella","Eastern and South-Eastern Asia",0.131421,0.055398,0.247201,0.123972
"Rubella","Eastern and Southern Europe",0.169454,0.045647,0.407088,0.152337
"Rubella","Latin America and the Caribbean",0.150874,0.060221,0.301637,0.139419
"Rubella","Oceania",0.3915,0.077344,1.093024,0.344369
"Typhoid","Middle Africa",2.619495,0.315574,9.260142,1.905151
"Typhoid","Northern Africa and Western Asia",0.74656,-0.085464,3.493213,0.5301
"Typhoid","Eastern Africa",1.058451,0.253198,3.214687,0.837954
"Typhoid","Western Africa",1.477467,0.586668,3.63718,1.303985
"Typhoid","Southern Africa",0.368854,0.007593,1.840348,0.241328
"Typhoid","Central and Southern Asia",0.148774,0.017152,0.40778,0.127418
"Typhoid","Eastern and South-Eastern Asia",0.157905,0.031042,0.473894,0.120727
"Typhoid","Eastern and Southern Europe",0.015019,0,0.097071,4.7e-05
"Typhoid","Latin America and the Caribbean",0.201426,0.039287,0.59968,0.162517
"Typhoid","Oceania",6.130828,-0.165512,31.306532,1.817162
"YF","Middle Africa",2.39028,0.253358,6.69952,1.966464
"YF","Northern Africa and Western Asia",2.011442,0.044714,8.724461,0.889873
"YF","Eastern Africa",0.430069,0.118203,0.999473,0.38858
"YF","Western Africa",2.447814,0.854052,5.895415,2.082631
"YF","Latin America and the Caribbean",2.33588,0.550684,5.78008,2.053736
