"disease","mean_value","lower_95","upper_95","median_value"
"COVID-19",0.124063,0.080805,0.184781,0.118493
"Cholera",0.199055,0.131793,0.562002,0.161452
"HPV",11.243493,10.876708,11.643503,11.242412
"HepB",4.995405,4.466298,5.578512,4.98634
"Hib",2.218388,1.813905,2.611679,2.213057
"JE",0.176683,0.097989,0.304522,0.167892
"Malaria",2.778622,2.155211,3.532034,2.753186
"Measles",6.086687,4.896176,7.067993,6.107702
"Meningitis",0.656313,0.487424,0.845437,0.656712
"PCV",1.532759,0.866391,2.09068,1.573964
"Rota",0.798513,0.48975,1.042779,0.793834
"Rubella",0.217444,0.122413,0.354594,0.208556
"Typhoid",0.680505,0.209919,1.715127,0.592462
"YF",1.858252,0.519202,4.233787,1.646016
