"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","TGO",2.974067,1.138138,5.251953,2.77994
"HPV","TGO",258.359479,201.860043,321.419253,256.885997
"HepB","TGO",163.81468,123.05289,227.474498,158.142123
"Hib","TGO",137.048789,78.896152,207.252792,134.02997
"Measles","TGO",524.987168,419.141438,614.795136,526.196536
"Meningitis","TGO",39.395317,23.389198,53.917756,39.699173
"PCV","TGO",88.158174,-16.082189,187.725462,91.656272
"Rota","TGO",96.960235,57.024581,131.683395,97.658305
"Rubella","TGO",16.208612,-6.492665,79.376052,7.881718
"Typhoid","TGO",48.043006,7.043864,315.845346,23.544288
"YF","TGO",161.11556,39.457671,370.302533,140.420875
