"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","TGO",0.076062,0.007877,0.142625,0.074953
"HPV","TGO",8.042301,6.05732,10.229819,7.98285
"HepB","TGO",7.089158,5.26888,10.176652,6.786878
"Hib","TGO",2.158107,1.185662,3.31187,2.108553
"Measles","TGO",8.499959,6.741261,10.033026,8.516824
"Meningitis","TGO",0.598843,0.361049,0.823009,0.601188
"PCV","TGO",1.360717,-0.364351,2.994525,1.420162
"Rota","TGO",2.113894,1.464692,2.697573,2.121658
"Rubella","TGO",0.237621,-0.059354,1.181769,0.142276
"Typhoid","TGO",1.23595,0.265005,6.793524,0.797576
"YF","TGO",4.190651,1.023205,9.579842,3.64767
