"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COG",3.493886,2.91567,4.271791,3.421651
"HPV","COG",563.164101,470.335689,669.795123,561.366309
"HepB","COG",172.620823,135.194193,218.022465,170.348675
"Hib","COG",139.249141,80.714611,219.141123,136.037993
"Measles","COG",425.830529,349.273461,500.388925,425.947615
"PCV","COG",109.316653,2.79307,222.054775,110.278963
"Rota","COG",54.343379,8.526451,109.068854,53.163565
"Rubella","COG",19.121388,-9.690478,93.959885,6.435823
"Typhoid","COG",28.233949,0.222064,181.480929,9.892369
"YF","COG",32.154805,7.483451,78.092727,28.078796
