"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BTN",0.280931,0.125141,0.4765,0.273036
"HPV","BTN",31.185179,27.73364,34.839947,31.192025
"HepB","BTN",4.831485,3.783786,6.860987,4.705455
"Hib","BTN",1.454289,0.523908,2.431822,1.427024
"JE","BTN",0.086694,0.010026,0.172537,0.083995
"Measles","BTN",5.986546,4.607419,7.281735,5.967619
"PCV","BTN",0.734963,-1.666869,3.410966,0.662548
"Rota","BTN",0.267255,-1.173096,1.460285,0.279417
"Rubella","BTN",0.098312,-0.039116,0.313011,0.085301
"Typhoid","BTN",0.095,0.015081,0.367784,0.07292
