"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BTN",9.164947,3.960771,15.233565,8.725335
"HPV","BTN",2059.660545,1818.428358,2313.60112,2060.768834
"HepB","BTN",173.562316,141.977549,227.151949,171.254553
"Hib","BTN",109.871368,44.27423,178.377991,107.991803
"JE","BTN",30.455128,20.716707,41.322614,29.750304
"Measles","BTN",426.21622,329.587679,516.898281,425.832124
"PCV","BTN",57.232404,-110.16424,245.103699,52.129425
"Rota","BTN",18.861716,-80.61887,101.869696,19.566634
"Rubella","BTN",8.70523,-1.100979,22.466089,7.625536
"Typhoid","BTN",5.575946,0.785816,25.820369,3.367158
