"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BDI",0.006201,-0.045337,0.055552,0.009348
"HPV","BDI",16.186597,9.051185,25.657327,15.68691
"HepB","BDI",4.486991,3.628095,5.482581,4.45368
"Hib","BDI",4.355552,3.039495,5.909981,4.321903
"Measles","BDI",7.219969,5.836584,8.43638,7.222117
"Meningitis","BDI",0.610684,0.404333,0.802506,0.611635
"PCV","BDI",2.630938,0.591448,4.718642,2.569162
"Rota","BDI",1.290588,0.588715,1.979069,1.319811
"Rubella","BDI",0.191887,-0.022722,0.957075,0.117991
"Typhoid","BDI",3.02999,0.137063,13.096891,1.897167
"YF","BDI",0.754023,0.258221,1.502069,0.70812
