"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SSD",0.048705,-0.075562,0.1559,0.058505
"HPV","SSD",9.439076,6.767955,13.373555,9.226365
"HepB","SSD",6.296762,5.231551,7.684087,6.252888
"Hib","SSD",5.12563,0.77548,9.742748,5.214229
"Measles","SSD",13.88459,12.128874,15.523938,13.912881
"Meningitis","SSD",0.496028,0.344427,0.667378,0.492307
"PCV","SSD",1.809963,-16.883984,21.453091,1.182501
"Rota","SSD",2.822049,-7.245115,12.333916,3.658089
"Rubella","SSD",0.337883,0.013605,1.296661,0.243483
"YF","SSD",1.403149,0.336104,3.073513,1.241097
