"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","KEN",0.039107,-0.012118,0.102452,0.034416
"HPV","KEN",14.052663,12.200675,16.116974,14.023424
"HepB","KEN",6.049209,4.970949,7.197368,6.019053
"Hib","KEN",1.50032,1.071937,2.041811,1.481139
"Measles","KEN",3.208024,2.427017,3.942151,3.206833
"Meningitis","KEN",0.611877,0.422612,0.798834,0.603976
"PCV","KEN",0.804278,0.095155,1.618909,0.816398
"Rota","KEN",0.967644,0.473166,1.44086,0.964031
"Rubella","KEN",0.277614,0.06639,0.775519,0.213633
"Typhoid","KEN",1.296563,0.218299,4.53032,0.912892
"YF","KEN",5.278628,1.265955,12.889126,4.546728
