"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","IRN",2.177524,0.926809,3.927033,2.129647
"HPV","IRN",365.964178,325.022968,409.953817,366.176669
"HepB","IRN",59.269657,48.578021,76.024552,58.259869
"Hib","IRN",64.248838,39.48247,89.661915,64.901923
"Measles","IRN",355.493158,259.32076,445.760609,354.758967
"PCV","IRN",52.045044,-31.451293,127.777844,53.826862
"Rota","IRN",14.412161,-14.448351,47.536209,12.788684
"Rubella","IRN",10.549953,7.581345,14.136088,10.428618
