"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",2.521382,1.283285,4.145678,2.491205
"Cholera","Middle Africa",5.799595,4.28834,10.39104,5.363458
"HPV","Middle Africa",562.26191,474.197431,663.515092,560.315165
"HepB","Middle Africa",135.136654,116.32778,157.516402,134.803375
"Hib","Middle Africa",357.537885,251.042498,472.871926,357.684187
"Malaria","Middle Africa",245.382147,164.509483,333.723028,243.420106
"Measles","Middle Africa",592.585068,504.152506,663.328776,597.116974
"Meningitis","Middle Africa",41.631528,27.919952,54.665863,41.586678
"PCV","Middle Africa",238.514598,96.592105,361.130332,246.967659
"Rota","Middle Africa",128.346741,26.23758,224.155837,130.090045
"Rubella","Middle Africa",21.33331,1.80746,52.483327,18.662982
"Typhoid","Middle Africa",98.300499,21.461399,523.279039,60.429642
"YF","Middle Africa",97.105079,25.786393,222.054282,83.583105
