"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa","campaign",0.022099,-0.072983,0.10057,0.023716
"COVID-19","Middle Africa","routine",0.044473,-0.031901,0.118201,0.046902
"COVID-19","Northern Africa and Western Asia","campaign",0.164179,0.100578,0.228529,0.16346
"COVID-19","Northern Africa and Western Asia","routine",0.026769,0.007754,0.043378,0.027573
"COVID-19","Eastern Africa","campaign",0.041512,0.00948,0.078929,0.041483
"COVID-19","Eastern Africa","routine",0.025855,-0.027289,0.091442,0.02468
"COVID-19","Western Africa","campaign",0.04685,0.016232,0.08728,0.045172
"COVID-19","Western Africa","routine",0.055899,0.004764,0.107848,0.055511
"COVID-19","Southern Africa","campaign",0.495484,0.168002,1.274176,0.417604
"COVID-19","Southern Africa","routine",0.034841,-0.212043,0.253541,0.041462
"COVID-19","Central and Southern Asia","campaign",0.311554,0.114608,0.603534,0.286297
"COVID-19","Central and Southern Asia","routine",0.017373,-0.056872,0.085356,0.017014
"COVID-19","Eastern and South-Eastern Asia","campaign",0.103394,0.06716,0.148896,0.101461
"COVID-19","Eastern and South-Eastern Asia","routine",0.009328,0.001216,0.01657,0.009431
"COVID-19","Eastern and Southern Europe","campaign",0.532631,0.377338,0.761224,0.522627
"COVID-19","Eastern and Southern Europe","routine",0.018517,-0.02535,0.063822,0.018417
"COVID-19","Latin America and the Caribbean","campaign",0.4089,0.267919,0.58546,0.399123
"COVID-19","Latin America and the Caribbean","routine",0.019375,-0.000797,0.040478,0.019535
"COVID-19","Oceania","campaign",0.07272,-0.012211,0.175667,0.068852
"COVID-19","Oceania","routine",0.001805,-0.062332,0.066609,0.00112
"Cholera","Middle Africa","campaign",0.127879,0.03526,0.262465,0.123978
"Cholera","Northern Africa and Western Asia","campaign",0.266551,0,0.489554,0.244209
"Cholera","Eastern Africa","campaign",0.249863,0.017748,0.588702,0.23011
"Cholera","Western Africa","campaign",0.108191,0.003825,0.20712,0.106274
"Cholera","Central and Southern Asia","campaign",0.026059,0,0.05841,0.025
"Cholera","Latin America and the Caribbean","campaign",0.32492,0.006528,2.950192,0.086905
"HPV","Middle Africa","campaign",13.746824,8.277617,21.219549,13.552681
"HPV","Middle Africa","routine",14.522391,9.69462,20.79722,14.254251
"HPV","Northern Africa and Western Asia","campaign",7.4232,3.526519,11.261225,7.420162
"HPV","Northern Africa and Western Asia","routine",7.071189,3.711676,10.529893,7.055908
"HPV","Eastern Africa","campaign",20.58392,13.979093,27.169759,20.602652
"HPV","Eastern Africa","routine",22.670287,15.641377,29.888866,22.705711
"HPV","Western Africa","campaign",10.913587,7.99571,14.357422,10.649549
"HPV","Western Africa","routine",11.99628,9.286656,14.776843,11.904096
"HPV","Southern Africa","campaign",15.717135,11.062071,19.784803,16.181642
"HPV","Southern Africa","routine",11.238202,5.835672,16.793121,8.252585
"HPV","Central and Southern Asia","campaign",10.016922,7.867626,11.792876,10.169463
"HPV","Central and Southern Asia","routine",8.777875,6.936485,10.357735,8.759404
"HPV","Eastern and South-Eastern Asia","campaign",5.860302,4.731229,7.554805,5.718983
"HPV","Eastern and South-Eastern Asia","routine",10.685741,6.337289,15.777517,10.60659
"HPV","Eastern and Southern Europe","campaign",6.628567,3.60133,9.942964,6.517752
"HPV","Eastern and Southern Europe","routine",6.923176,3.977533,9.953131,6.722767
"HPV","Latin America and the Caribbean","campaign",10.674599,8.186392,13.332583,10.394358
"HPV","Latin America and the Caribbean","routine",13.880569,10.353709,17.55685,13.934965
"HPV","Oceania","campaign",12.606869,2.72834,43.596994,6.417478
"HPV","Oceania","routine",13.003576,4.268408,33.935808,10.516603
"HepB","Middle Africa","routine",5.853953,2.449661,9.242559,5.877409
"HepB","Northern Africa and Western Asia","routine",3.851657,2.385148,5.469552,3.842607
"HepB","Eastern Africa","routine",6.447179,4.555021,8.862543,6.301894
"HepB","Western Africa","routine",6.448292,4.774309,8.982641,6.329073
"HepB","Southern Africa","routine",6.098426,2.111134,10.930071,5.905432
"HepB","Central and Southern Asia","routine",3.541709,2.185966,4.905431,3.486648
"HepB","Eastern and South-Eastern Asia","routine",6.211409,3.082755,11.070177,5.264717
"HepB","Eastern and Southern Europe","routine",2.37182,1.42237,3.671123,2.284846
"HepB","Latin America and the Caribbean","routine",1.097562,0.787424,1.457424,1.084642
"HepB","Oceania","routine",5.803961,3.431224,9.223634,5.242045
"Hib","Middle Africa","routine",5.779758,3.247596,9.942755,5.536616
"Hib","Northern Africa and Western Asia","routine",1.526961,0.834879,2.436108,1.475815
"Hib","Eastern Africa","routine",3.008176,1.842888,4.547679,2.919179
"Hib","Western Africa","routine",3.895219,2.28264,6.853076,3.666006
"Hib","Southern Africa","routine",1.255844,0.594455,1.879411,1.314977
"Hib","Central and Southern Asia","routine",1.793838,0.910425,3.848397,1.528122
"Hib","Eastern and South-Eastern Asia","routine",0.958937,0.38911,1.915619,0.889413
"Hib","Eastern and Southern Europe","routine",0.210295,0.109156,0.381527,0.184506
"Hib","Latin America and the Caribbean","routine",0.90826,0.574638,1.30056,0.908045
"Hib","Oceania","routine",2.05549,0.631354,4.642846,1.88166
"JE","Central and Southern Asia","campaign",0.050837,0.000738,0.186637,0.033775
"JE","Central and Southern Asia","routine",0.334906,0.120317,0.649612,0.318764
"JE","Eastern and South-Eastern Asia","campaign",0.087606,0.00012,0.428559,0.054478
"JE","Eastern and South-Eastern Asia","routine",0.168512,0.071297,0.353478,0.153279
"JE","Oceania","campaign",0.026073,4e-05,0.170962,0.000198
"JE","Oceania","routine",0.306073,0.037165,0.918213,0.286885
"Malaria","Middle Africa","routine",3.195119,1.665357,5.064392,3.109587
"Malaria","Northern Africa and Western Asia","routine",1.78888,-0.227138,6.068569,1.638604
