"disease","subregion","mean_value","lower_95","upper_95","median_value"
"Rota","Eastern Africa",0.883958,0.331065,1.509791,0.862005
"Rota","Western Africa",2.280431,-2.428553,5.145001,2.059639
"Rota","Southern Africa",0.441482,-0.204932,0.884044,0.41507
"Rota","Central and Southern Asia",0.480721,-0.561329,1.968368,0.4183
"Rota","Eastern and South-Eastern Asia",0.27405,-0.366745,1.369082,0.181924
"Rota","Eastern and Southern Europe",0.018068,-0.155402,0.212257,0.014447
"Rota","Latin America and the Caribbean",0.337748,0.183306,0.571454,0.317032
"Rota","Oceania",1.087877,-3.602248,4.703717,0.605252
"Rubella","Middle Africa",0.255697,-0.031065,0.947586,0.209334
"Rubella","Northern Africa and Western Asia",0.151634,0.057988,0.26963,0.144746
"Rubella","Eastern Africa",0.271517,0.10246,0.528486,0.252304
"Rubella","Western Africa",0.405715,0.104609,1.119207,0.345359
"Rubella","Southern Africa",0.118248,-0.282608,0.511673,0.118894
"Rubella","Central and Southern Asia",0.24229,0.084171,0.556663,0.204713
"Rubella","Eastern and South-Eastern Asia",0.132937,0.054333,0.25442,0.125204
"Rubella","Eastern and Southern Europe",0.170326,0.043736,0.39408,0.155258
"Rubella","Latin America and the Caribbean",0.152031,0.058248,0.291258,0.142259
"Rubella","Oceania",0.366455,0.060767,1.009074,0.321104
"Typhoid","Middle Africa",2.756506,0.337864,13.22069,1.894022
"Typhoid","Northern Africa and Western Asia",0.685126,-0.083001,2.726616,0.521976
"Typhoid","Eastern Africa",1.100093,0.313181,3.305387,0.833372
"Typhoid","Western Africa",1.536001,0.58978,3.596601,1.358292
"Typhoid","Southern Africa",0.37959,0.00738,1.260098,0.228314
"Typhoid","Central and Southern Asia",0.143855,0.012468,0.378599,0.124513
"Typhoid","Eastern and South-Eastern Asia",0.170797,0.026296,0.640083,0.127599
"Typhoid","Eastern and Southern Europe",0.026146,0,0.190387,7.4e-05
"Typhoid","Latin America and the Caribbean",0.203548,0.028639,0.531963,0.171036
"Typhoid","Oceania",6.802342,-0.146342,33.865544,2.088898
"YF","Middle Africa",2.351204,0.256653,6.898048,1.981018
"YF","Northern Africa and Western Asia",2.09157,0.046873,8.7133,0.958104
"YF","Eastern Africa",0.436468,0.106227,1.033057,0.394066
"YF","Western Africa",2.519917,0.885416,5.949021,2.213443
"YF","Latin America and the Caribbean",2.445009,0.57365,6.069537,2.159432
