"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",2.497907,1.343433,3.75108,2.452065
"COVID-19","Northern Africa and Western Asia",4.054354,3.25085,4.980828,4.047066
"COVID-19","Eastern Africa",2.039044,1.462514,2.747428,2.011991
"COVID-19","Western Africa",2.46191,1.852989,3.194604,2.440867
"COVID-19","Southern Africa",11.533002,4.127185,29.481381,9.793353
"COVID-19","Central and Southern Asia",6.939801,3.235211,13.687011,6.183142
"COVID-19","Eastern and South-Eastern Asia",2.082231,1.400276,2.990027,2.04556
"COVID-19","Eastern and Southern Europe",7.335723,5.341396,10.106752,7.186866
"COVID-19","Latin America and the Caribbean",7.48934,5.247852,10.602264,7.379855
"COVID-19","Oceania",1.583061,0.757544,2.755181,1.530183
"Cholera","Middle Africa",5.741658,0.326729,11.637744,8.08721
"Cholera","Northern Africa and Western Asia",17.776413,0.01625,34.433663,28.68055
"Cholera","Eastern Africa",11.671631,0.106072,23.108924,16.946916
"Cholera","Western Africa",5.049046,0.002301,10.592816,8.158587
"Cholera","Central and Southern Asia",1.762094,0.000732,4.139118,2.605296
"Cholera","Latin America and the Caribbean",9.647062,0.023964,66.454281,5.863659
"HPV","Middle Africa",561.572939,273.878514,887.091328,549.922042
"HPV","Northern Africa and Western Asia",432.810191,129.13391,763.94605,434.889923
"HPV","Eastern Africa",890.794283,597.89347,1207.644667,890.35341
"HPV","Western Africa",524.986702,252.727603,840.547811,579.694315
"HPV","Southern Africa",502.598148,377.195251,645.889901,497.297787
"HPV","Central and Southern Asia",461.735199,239.571815,718.771324,431.896038
"HPV","Eastern and South-Eastern Asia",416.813932,220.277434,678.366662,416.061497
"HPV","Eastern and Southern Europe",390.062168,185.101369,601.60837,389.267262
"HPV","Latin America and the Caribbean",637.121296,369.454365,918.000132,632.067087
"HPV","Oceania",360.779848,205.320818,832.761499,294.96864
"HepB","Middle Africa",137.441321,51.560775,232.035983,128.080977
"HepB","Northern Africa and Western Asia",108.24075,63.415075,159.713789,106.317857
"HepB","Eastern Africa",158.12963,102.518557,227.707129,155.946989
"HepB","Western Africa",145.754446,103.849129,195.721472,143.710934
"HepB","Southern Africa",149.026691,47.703429,298.431064,129.769718
"HepB","Central and Southern Asia",108.20409,62.704817,153.921939,107.675023
"HepB","Eastern and South-Eastern Asia",194.236638,86.61737,382.155282,139.907919
"HepB","Eastern and Southern Europe",71.467542,37.068851,117.36435,68.791982
"HepB","Latin America and the Caribbean",31.516251,21.087755,43.922245,30.796575
"HepB","Oceania",144.255284,74.678271,252.544296,122.254867
"Hib","Middle Africa",360.531679,204.051384,604.37792,345.515568
"Hib","Northern Africa and Western Asia",109.074433,59.387584,173.247942,106.201525
"Hib","Eastern Africa",196.475055,120.517474,301.564646,187.938085
"Hib","Western Africa",244.643011,147.86865,418.299435,234.420147
"Hib","Southern Africa",80.291213,42.568852,114.643037,81.110018
"Hib","Central and Southern Asia",131.396679,66.352639,271.109045,110.908248
"Hib","Eastern and South-Eastern Asia",72.744012,30.867561,146.402182,66.863313
"Hib","Eastern and Southern Europe",17.581933,8.861344,32.132011,15.009099
"Hib","Latin America and the Caribbean",68.46164,42.180519,96.477053,68.026596
"Hib","Oceania",143.674861,48.774663,284.459097,135.275024
"JE","Central and Southern Asia",52.48248,10.764232,103.675493,58.298666
"JE","Eastern and South-Eastern Asia",113.240373,11.576901,249.537108,141.142013
"JE","Oceania",14.552087,0.598795,32.872542,15.091576
"Malaria","Middle Africa",245.961901,135.585506,382.330141,242.728462
"Malaria","Northern Africa and Western Asia",108.950271,8.411546,363.696595,93.317157
"Malaria","Eastern Africa",174.522083,115.667833,244.351342,173.493733
"Malaria","Western Africa",209.206234,156.635597,285.35944,205.732599
"Measles","Middle Africa",590.602013,458.190356,743.483682,586.877863
"Measles","Northern Africa and Western Asia",314.899243,197.642424,427.743019,312.425285
"Measles","Eastern Africa",438.051374,325.135033,560.009405,435.961765
"Measles","Western Africa",613.182968,455.018679,779.148659,609.220218
"Measles","Southern Africa",189.179,81.35632,364.179077,102.613879
"Measles","Central and Southern Asia",453.270652,324.851679,611.017593,446.307875
"Measles","Eastern and South-Eastern Asia",259.395673,130.130198,433.603197,221.844408
"Measles","Eastern and Southern Europe",186.625728,102.943074,282.02481,180.822044
"Measles","Latin America and the Caribbean",344.572338,206.739374,493.202473,341.455119
"Measles","Oceania",396.223163,215.981354,670.801344,270.756339
"Meningitis","Middle Africa",41.817831,31.730086,52.458268,41.839451
"Meningitis","Northern Africa and Western Asia",49.575867,34.114423,68.125443,50.055522
"Meningitis","Eastern Africa",46.394824,32.900425,58.622013,45.837184
"Meningitis","Western Africa",40.573304,32.570473,48.524057,40.613577
"PCV","Middle Africa",244.080036,61.002372,530.670208,222.41897
"PCV","Northern Africa and Western Asia",89.953954,30.11693,166.211342,86.317104
"PCV","Eastern Africa",124.817344,56.357315,221.446537,117.658581
"PCV","Western Africa",154.886054,18.377554,372.714467,138.210318
"PCV","Southern Africa",51.172236,1.485144,134.264003,48.863281
"PCV","Central and Southern Asia",87.336706,-57.308084,280.045569,71.328172
"PCV","Eastern and South-Eastern Asia",49.423772,-36.562947,184.558781,34.700311
"PCV","Eastern and Southern Europe",12.785869,-22.518049,46.916034,10.677886
"PCV","Latin America and the Caribbean",58.14524,28.278497,101.661974,55.168581
"PCV","Oceania",87.913678,-65.006675,328.955124,70.727888
"Rota","Middle Africa",126.858334,-39.020526,308.075708,129.653216
"Rota","Northern Africa and Western Asia",47.995019,1.944947,100.219541,45.026404
"Rota","Eastern Africa",52.448131,19.626251,92.940145,50.393929
"Rota","Western Africa",105.116452,-131.005478,249.388032,102.817852
"Rota","Southern Africa",27.431539,-11.975963,55.651496,23.998731
"Rota","Central and Southern Asia",31.881396,-39.616718,132.752092,28.270195
"Rota","Eastern and South-Eastern Asia",20.316923,-26.94148,103.433664,12.566203
"Rota","Eastern and Southern Europe",1.899415,-10.816818,15.517746,1.70238
"Rota","Latin America and the Caribbean",23.738347,12.646479,40.659599,22.576744
"Rota","Oceania",51.517592,-231.09906,303.570163,41.544631
"Rubella","Middle Africa",21.244038,-2.559478,68.942831,17.174884
"Rubella","Northern Africa and Western Asia",12.07055,3.633399,21.18919,12.020584
"Rubella","Eastern Africa",21.694107,7.623877,42.347605,20.454828
"Rubella","Western Africa",33.347965,8.031834,84.543437,27.324625
"Rubella","Southern Africa",8.597759,-12.804788,25.3405,9.221903
"Rubella","Central and Southern Asia",18.252109,5.503252,45.262925,12.963369
"Rubella","Eastern and South-Eastern Asia",9.50445,3.340526,18.698547,8.856691
"Rubella","Eastern and Southern Europe",12.004565,2.889618,30.767847,10.181346
"Rubella","Latin America and the Caribbean",10.806562,3.684804,20.972609,10.327965
"Rubella","Oceania",28.632056,4.375204,75.02801,22.316097
"Typhoid","Middle Africa",103.185067,12.080341,579.890191,55.846864
"Typhoid","Northern Africa and Western Asia",27.24697,2.20595,143.67082,16.137524
"Typhoid","Eastern Africa",48.406571,12.521292,164.356689,31.634039
"Typhoid","Western Africa",56.837784,20.00991,163.445923,45.083862
"Typhoid","Southern Africa",14.471297,0.619397,63.302286,7.035953
"Typhoid","Central and Southern Asia",5.524073,1.14482,16.5021,4.272833
"Typhoid","Eastern and South-Eastern Asia",7.731788,1.421172,38.682996,4.542744
"Typhoid","Eastern and Southern Europe",1.989695,0,12.194216,0.344243
"Typhoid","Latin America and the Caribbean",6.845152,1.377983,23.348386,4.87345
"Typhoid","Oceania",176.321175,3.661098,822.178448,75.658926
"YF","Middle Africa",95.338611,9.062886,285.597423,79.752437
"YF","Northern Africa and Western Asia",78.644011,1.633215,330.047772,33.495208
"YF","Eastern Africa",15.702368,3.776127,39.265108,13.905264
"YF","Western Africa",96.32197,31.877477,227.632309,85.377915
"YF","Latin America and the Caribbean",106.915613,24.790455,263.992838,94.670303
