"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LBR",0.584693,-0.318728,1.279523,0.620063
"HPV","LBR",530.493003,365.820253,786.70324,513.623492
"HepB","LBR",242.005665,178.968446,322.352494,239.276845
"Hib","LBR",283.713748,146.398581,432.153318,278.372018
"Measles","LBR",779.657652,651.645889,873.7877,785.65003
"PCV","LBR",186.844585,-57.538378,395.434867,178.967106
"Rota","LBR",75.391161,-43.730013,171.44787,69.889502
"Rubella","LBR",33.777579,1.859373,98.899438,25.732068
"Typhoid","LBR",114.076092,12.632612,488.675787,61.756814
"YF","LBR",130.748337,38.295009,289.081151,121.891163
