"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LBR",0.007712,-0.03106,0.040235,0.005543
"HPV","LBR",17.303471,9.782159,30.607756,16.188066
"HepB","LBR",11.156268,8.111645,15.343007,10.962241
"Hib","LBR",4.307473,2.140389,6.647234,4.230213
"Measles","LBR",12.191534,10.122986,13.789399,12.296625
"PCV","LBR",2.795213,-1.108619,6.106367,2.663304
"Rota","LBR",1.372464,-0.555206,2.913914,1.289995
"Rubella","LBR",0.409419,0.019022,1.390123,0.292322
"Typhoid","LBR",3.019294,0.385435,10.144059,1.941215
"YF","LBR",3.607911,1.05904,8.030592,3.370995
