"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LCA",2.79388,1.998918,4.220589,2.658385
"HPV","LCA",471.30418,331.518314,665.0322,463.508513
"HepB","LCA",10.145125,6.816877,18.564637,9.429814
"Measles","LCA",173.22116,125.834149,216.241378,173.475869
"Rubella","LCA",8.543649,-8.712702,29.408689,6.861792
