"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BFA",0.062999,0.014261,0.132424,0.056986
"HPV","BFA",7.339539,4.575,11.31122,7.055268
"HepB","BFA",5.114665,4.060228,6.43403,5.038514
"Hib","BFA",3.289081,2.145846,5.031494,3.203593
"Measles","BFA",12.577636,9.989496,14.904861,12.589587
"Meningitis","BFA",0.638151,0.423148,0.883736,0.635377
"PCV","BFA",1.844821,-0.608198,4.603165,1.782251
"Rota","BFA",1.95603,1.155869,2.706843,1.968388
"Rubella","BFA",0.077046,0.003847,0.337958,0.055867
"Typhoid","BFA",1.818015,0.400151,6.339537,1.364258
"YF","BFA",3.089417,0.895074,6.912217,2.781562
