"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BFA",2.937391,1.432684,5.038289,2.805588
"HPV","BFA",259.572521,194.972532,354.561044,254.28729
"HepB","BFA",123.367278,98.477024,154.934448,121.599823
"Hib","BFA",211.512923,139.5534,322.546017,206.150282
"Measles","BFA",763.219892,612.196331,894.005147,764.55735
"Meningitis","BFA",41.625955,27.181441,57.176674,41.424287
"PCV","BFA",122.416868,-29.058029,294.057795,118.323627
"Rota","BFA",94.804445,46.730181,140.456415,95.786116
"Rubella","BFA",5.34464,-0.315175,25.073628,3.712619
"Typhoid","BFA",63.991685,11.516046,293.268409,40.026435
"YF","BFA",114.58452,33.1684,255.943924,103.208487
