"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MLI",0.048677,-0.019546,0.123187,0.050614
"HPV","MLI",12.370879,10.562363,14.472624,12.327318
"HepB","MLI",9.667741,7.633021,12.445809,9.505953
"Hib","MLI",6.041009,3.402522,9.692674,5.97749
"Measles","MLI",15.481374,12.446029,17.935653,15.505006
"Meningitis","MLI",0.69797,0.420054,0.963421,0.689272
"PCV","MLI",4.148274,-0.283631,9.186353,4.229374
"Rota","MLI",1.080534,-0.36299,2.64305,1.150918
"Rubella","MLI",0.396308,0.005843,1.518387,0.280595
"Typhoid","MLI",1.363999,0.257339,6.180389,0.918904
"YF","MLI",2.240821,0.669752,4.91333,2.063388
