"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa","campaign",1.935622,-0.568873,4.211858,1.900953
"COVID-19","Middle Africa","routine",43.966612,17.797897,71.695651,45.775436
"COVID-19","Northern Africa and Western Asia","campaign",5.50894,3.825812,7.425598,5.479775
"COVID-19","Northern Africa and Western Asia","routine",71.799338,61.151886,81.852213,72.043242
"COVID-19","Eastern Africa","campaign",2.069541,1.281621,3.056076,2.025111
"COVID-19","Eastern Africa","routine",22.016436,6.116622,38.068829,22.121644
"COVID-19","Western Africa","campaign",2.077029,1.216514,3.115375,2.028637
"COVID-19","Western Africa","routine",24.195356,15.528591,32.389864,24.447457
"COVID-19","Southern Africa","campaign",14.298328,4.981513,36.420178,11.811574
"COVID-19","Southern Africa","routine",4.626726,-23.753761,26.603053,6.054225
"COVID-19","Central and Southern Asia","campaign",9.433775,4.395929,19.439431,8.267424
"COVID-19","Central and Southern Asia","routine",11.623048,-4.554176,29.495293,12.062024
"COVID-19","Eastern and South-Eastern Asia","campaign",3.111886,2.000569,4.589006,3.056327
"COVID-19","Eastern and South-Eastern Asia","routine",8.813336,5.024248,12.254505,8.909286
"COVID-19","Eastern and Southern Europe","campaign",10.853451,7.956614,14.853805,10.664923
"COVID-19","Eastern and Southern Europe","routine",6.455048,-7.515025,17.848365,6.362983
"COVID-19","Latin America and the Caribbean","campaign",12.262118,8.137422,18.06913,11.919088
"COVID-19","Latin America and the Caribbean","routine",11.939157,5.851099,18.697437,11.835299
"COVID-19","Oceania","campaign",2.357086,0.653376,4.408872,2.258471
"COVID-19","Oceania","routine",12.16609,-16.337254,35.362335,11.160864
"Cholera","Middle Africa","campaign",3.547912,0.724757,6.491406,3.462659
"Cholera","Northern Africa and Western Asia","campaign",10.133181,0.04974,20.786216,9.851526
"Cholera","Eastern Africa","campaign",7.5935,0.578405,13.735485,7.482125
"Cholera","Western Africa","campaign",3.120229,0.064233,6.261195,3.162927
"Cholera","Central and Southern Asia","campaign",1.089049,0.002264,2.424807,1.046757
"Cholera","Latin America and the Caribbean","campaign",7.436168,0.313866,52.569927,3.203266
"HPV","Middle Africa","campaign",523.92354,236.595509,854.328203,521.970156
"HPV","Middle Africa","routine",584.264322,297.853305,915.02472,563.735246
"HPV","Northern Africa and Western Asia","campaign",461.628097,110.526323,809.880765,458.422198
"HPV","Northern Africa and Western Asia","routine",436.550736,137.509345,731.956546,437.604471
"HPV","Eastern Africa","campaign",956.374547,386.076275,1537.595319,963.475479
"HPV","Eastern Africa","routine",888.049459,621.139266,1173.075966,883.467279
"HPV","Western Africa","campaign",512.342814,212.252855,879.352844,596.138299
"HPV","Western Africa","routine",538.524177,281.910376,825.099795,562.392263
"HPV","Southern Africa","campaign",688.983005,403.756836,1021.941037,683.884605
"HPV","Southern Africa","routine",438.685098,317.102874,540.702346,444.194184
"HPV","Central and Southern Asia","campaign",483.993288,244.712326,752.939542,442.941715
"HPV","Central and Southern Asia","routine",434.213107,233.940502,668.024442,419.208751
"HPV","Eastern and South-Eastern Asia","campaign",308.193191,156.670214,540.149079,228.080803
"HPV","Eastern and South-Eastern Asia","routine",515.118151,268.547725,856.882099,446.94989
"HPV","Eastern and Southern Europe","campaign",385.697245,158.590605,610.719714,379.536302
"HPV","Eastern and Southern Europe","routine",409.076186,179.693892,643.984283,443.334096
"HPV","Latin America and the Caribbean","campaign",464.739134,249.383823,676.496433,469.098896
"HPV","Latin America and the Caribbean","routine",710.892036,361.149005,1067.435485,708.033663
"HPV","Oceania","campaign",353.301315,166.350653,1000.51838,251.811583
"HPV","Oceania","routine",380.147532,241.034469,765.981218,339.471253
"HepB","Middle Africa","routine",135.539903,54.522649,234.429246,122.414336
"HepB","Northern Africa and Western Asia","routine",108.095693,69.717332,150.328672,108.484273
"HepB","Eastern Africa","routine",158.503641,108.189085,222.385106,156.209516
"HepB","Western Africa","routine",145.654225,104.811184,187.933298,144.975101
"HepB","Southern Africa","routine",149.431222,48.588573,300.163459,127.563237
"HepB","Central and Southern Asia","routine",108.64485,65.368298,150.804167,106.648312
"HepB","Eastern and South-Eastern Asia","routine",190.032345,92.242338,353.330585,157.445978
"HepB","Eastern and Southern Europe","routine",71.608989,41.276222,115.050224,67.596939
"HepB","Latin America and the Caribbean","routine",31.644626,21.645521,43.199622,31.107727
"HepB","Oceania","routine",144.056316,82.133625,236.714515,126.411086
"Hib","Middle Africa","routine",355.293252,199.491687,592.250415,343.372878
"Hib","Northern Africa and Western Asia","routine",110.167701,59.04854,172.307353,106.871105
"Hib","Eastern Africa","routine",198.781433,120.482801,306.339313,191.435796
"Hib","Western Africa","routine",243.435666,141.864717,414.353401,229.825925
"Hib","Southern Africa","routine",78.412396,41.637724,112.589638,80.030745
"Hib","Central and Southern Asia","routine",133.465732,67.305275,264.331486,114.072016
"Hib","Eastern and South-Eastern Asia","routine",74.050558,31.001774,142.554684,68.851111
"Hib","Eastern and Southern Europe","routine",17.922064,8.828302,32.100949,15.780251
"Hib","Latin America and the Caribbean","routine",67.97394,43.234518,95.40522,67.628948
"Hib","Oceania","routine",142.697715,47.196238,305.944284,133.420087
"JE","Central and Southern Asia","campaign",4.332733,0.248467,14.614504,3.186904
"JE","Central and Southern Asia","routine",98.289945,17.536708,205.744317,100.363781
"JE","Eastern and South-Eastern Asia","campaign",6.312104,0.038567,27.427173,3.556119
"JE","Eastern and South-Eastern Asia","routine",115.762872,11.904027,268.019385,136.065196
"JE","Oceania","campaign",2.161699,0.028955,12.174601,0.056896
"JE","Oceania","routine",102.308657,3.435073,249.827716,129.190424
"Malaria","Middle Africa","routine",246.470192,143.617529,395.493757,240.969661
"Malaria","Northern Africa and Western Asia","routine",106.668586,-1.794089,354.864254,96.045149
"Malaria","Eastern Africa","routine",174.338683,110.452295,239.217809,172.124167
"Malaria","Western Africa","routine",208.260027,156.596379,281.196551,204.326269
"Measles","Middle Africa","campaign",215.612571,165.742333,261.163787,214.679987
"Measles","Middle Africa","routine",1533.821141,1126.00125,2002.377159,1526.022101
"Measles","Northern Africa and Western Asia","campaign",33.719017,18.888107,51.79878,33.331202
