"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",0.069381,0.001653,0.134235,0.06894
"COVID-19","Northern Africa and Western Asia",0.187936,0.146191,0.23093,0.187456
"COVID-19","Eastern Africa",0.050431,0.024944,0.076229,0.050252
"COVID-19","Western Africa",0.065061,0.042245,0.090985,0.064418
"COVID-19","Southern Africa",0.48529,0.213025,0.91303,0.449079
"COVID-19","Central and Southern Asia",0.308841,0.188428,0.480413,0.297321
"COVID-19","Eastern and South-Eastern Asia",0.106308,0.077987,0.138211,0.104765
"COVID-19","Eastern and Southern Europe",0.522724,0.413416,0.660051,0.515717
"COVID-19","Latin America and the Caribbean",0.40513,0.307708,0.525092,0.402969
"COVID-19","Oceania",0.068227,0.004946,0.136522,0.067388
"Cholera","Middle Africa",0.140068,0.051855,0.253089,0.135642
"Cholera","Northern Africa and Western Asia",0.287289,0,0.558686,0.26511
"Cholera","Eastern Africa",0.287243,0.045724,0.671098,0.279243
"Cholera","Western Africa",0.122445,0.011604,0.225595,0.131051
"Cholera","Central and Southern Asia",0.030137,6e-06,0.06191,0.029666
"Cholera","Latin America and the Caribbean",0.39722,0.01216,2.979779,0.103569
"HPV","Middle Africa",14.158721,10.796828,18.555235,14.00143
"HPV","Northern Africa and Western Asia",7.305945,4.904758,9.668875,7.292782
"HPV","Eastern Africa",22.306229,17.619218,27.108797,22.273753
"HPV","Western Africa",11.586591,9.901292,13.540548,11.53696
"HPV","Southern Africa",12.475227,7.963126,16.686608,12.432868
"HPV","Central and Southern Asia",9.393047,8.108739,10.44976,9.412544
"HPV","Eastern and South-Eastern Asia",8.167877,6.274941,10.211612,8.110612
"HPV","Eastern and Southern Europe",6.815117,5.069982,8.623934,6.824209
"HPV","Latin America and the Caribbean",12.926235,11.291662,14.646916,12.895113
"HPV","Oceania",12.447732,4.675546,27.460624,11.060638
"HepB","Middle Africa",5.830859,3.094356,8.430725,5.917481
"HepB","Northern Africa and Western Asia",3.859189,2.752606,4.996747,3.840812
"HepB","Eastern Africa",6.417296,4.970015,8.039072,6.386005
"HepB","Western Africa",6.472571,5.172395,8.377522,6.376392
"HepB","Southern Africa",5.850501,2.426142,9.796995,5.853977
"HepB","Central and Southern Asia",3.512219,2.502059,4.64219,3.495854
"HepB","Eastern and South-Eastern Asia",6.229878,3.490958,10.603307,6.251959
"HepB","Eastern and Southern Europe",2.395672,1.602811,3.39874,2.361351
"HepB","Latin America and the Caribbean",1.100431,0.852116,1.376711,1.095536
"HepB","Oceania",5.857646,3.714746,8.61365,5.835286
"Hib","Middle Africa",5.714188,3.729119,8.248325,5.613878
"Hib","Northern Africa and Western Asia",1.556875,1.001571,2.208231,1.546998
"Hib","Eastern Africa",2.969222,2.032226,4.118519,2.96395
"Hib","Western Africa",3.912686,2.562518,5.967145,3.776868
"Hib","Southern Africa",1.247406,0.73384,1.730113,1.263452
"Hib","Central and Southern Asia",1.83603,1.028709,3.054835,1.73026
"Hib","Eastern and South-Eastern Asia",0.959252,0.500077,1.583673,0.921531
"Hib","Eastern and Southern Europe",0.210097,0.123075,0.34351,0.207641
"Hib","Latin America and the Caribbean",0.903059,0.652681,1.176529,0.89758
"Hib","Oceania",2.055441,0.927474,3.715835,1.96641
"JE","Central and Southern Asia",0.194624,0.102935,0.312814,0.190699
"JE","Eastern and South-Eastern Asia",0.159563,0.083447,0.28059,0.148767
"JE","Oceania",0.063081,0.016184,0.14421,0.057777
"Malaria","Middle Africa",3.209166,2.181985,4.591734,3.140049
"Malaria","Northern Africa and Western Asia",1.790812,0.31428,4.367926,1.645572
"Malaria","Eastern Africa",2.23848,1.646731,2.894437,2.228128
"Malaria","Western Africa",2.976461,2.417512,3.60297,2.96951
"Measles","Middle Africa",9.590828,7.63235,11.623488,9.557142
"Measles","Northern Africa and Western Asia",4.477269,3.265324,5.663859,4.47065
"Measles","Eastern Africa",6.832232,5.353243,8.238234,6.817022
"Measles","Western Africa",10.186735,7.916055,12.51982,10.136874
"Measles","Southern Africa",3.094165,1.336324,5.295908,3.035033
"Measles","Central and Southern Asia",6.380193,4.710314,8.117288,6.380037
"Measles","Eastern and South-Eastern Asia",3.471802,1.960445,5.194005,3.485173
"Measles","Eastern and Southern Europe",2.548008,1.618081,3.507591,2.537564
"Measles","Latin America and the Caribbean",4.61249,3.313318,6.083071,4.586946
"Measles","Oceania",6.085215,3.335027,9.418087,6.034134
"MenA","Middle Africa",0.496564,0.384239,0.626766,0.495706
"MenA","Northern Africa and Western Asia",0.663571,0.467441,0.873001,0.665845
"MenA","Eastern Africa",0.494875,0.383093,0.622002,0.493506
"MenA","Western Africa",0.614417,0.518381,0.702891,0.616995
"MenACWYX","Middle Africa",0.86865,0.531373,1.251524,0.85979
"MenACWYX","Northern Africa and Western Asia",0.902176,0.269244,1.540039,0.903819
"MenACWYX","Eastern Africa",0.848373,0.366752,1.25283,0.844647
"MenACWYX","Western Africa",0.821841,0.510684,1.192719,0.814609
"Meningitis","Middle Africa",0.654952,0.502266,0.810931,0.656001
"Meningitis","Northern Africa and Western Asia",0.720936,0.49764,0.942007,0.72451
"Meningitis","Eastern Africa",0.671044,0.487268,0.849002,0.662575
"Meningitis","Western Africa",0.648008,0.520185,0.779666,0.648001
"PCV","Middle Africa",3.727822,1.297404,7.154779,3.562674
"PCV","Northern Africa and Western Asia",1.273552,0.598739,2.216605,1.230567
"PCV","Eastern Africa",1.788322,0.983126,2.818615,1.762259
"PCV","Western Africa",2.548692,0.815078,4.86731,2.337083
"PCV","Southern Africa",0.746943,0.092128,1.501942,0.721424
"PCV","Central and Southern Asia",1.161135,-0.339131,2.848335,1.058901
"PCV","Eastern and South-Eastern Asia",0.690671,-0.194754,1.855816,0.603258
"PCV","Eastern and Southern Europe",0.136056,-0.176467,0.470713,0.132846
"PCV","Latin America and the Caribbean",0.77098,0.473677,1.145949,0.756407
"PCV","Oceania",1.211408,-0.644615,3.185009,1.081171
"Rota","Middle Africa",2.406977,0.28582,4.306714,2.447558
"Rota","Northern Africa and Western Asia",0.710345,0.266254,1.226185,0.689153
"Rota","Eastern Africa",0.892107,0.48448,1.3525,0.882596
"Rota","Western Africa",2.240043,-0.733183,4.389947,2.402572
"Rota","Southern Africa",0.459359,0.071413,0.814161,0.473943
"Rota","Central and Southern Asia",0.47782,-0.321794,1.333654,0.435661
"Rota","Eastern and South-Eastern Asia",0.254328,-0.271467,0.944965,0.202073
"Rota","Eastern and Southern Europe",0.014079,-0.114738,0.142604,0.013958
"Rota","Latin America and the Caribbean",0.339138,0.215582,0.502075,0.333475
"Rota","Oceania",1.018714,-2.251084,3.730489,1.306053
"Rubella","Middle Africa",0.258587,0.02918,0.635844,0.230166
"Rubella","Northern Africa and Western Asia",0.148665,0.080885,0.238171,0.145222
"Rubella","Eastern Africa",0.2685,0.145755,0.463929,0.260026
"Rubella","Western Africa",0.406139,0.180137,0.880482,0.366699
"Rubella","Southern Africa",0.116231,-0.205145,0.435011,0.116854
"Rubella","Central and Southern Asia",0.235927,0.122815,0.418957,0.222037
"Rubella","Eastern and South-Eastern Asia",0.131903,0.073088,0.208393,0.128352
"Rubella","Eastern and Southern Europe",0.173836,0.081491,0.310692,0.166144
"Rubella","Latin America and the Caribbean",0.155359,0.088493,0.248236,0.152686
"Rubella","Oceania",0.385074,0.159613,0.793451,0.348765
"Typhoid","Middle Africa",2.842669,0.84061,11.063333,2.057206
"Typhoid","Northern Africa and Western Asia",0.672334,0.068942,2.270379,0.555785
"Typhoid","Eastern Africa",1.086375,0.435323,2.934938,0.913916
