"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa","campaign",0.024625,-0.07123,0.108179,0.02289
"COVID-19","Middle Africa","routine",0.662651,-0.388486,1.798724,0.704683
"COVID-19","Northern Africa and Western Asia","campaign",0.163357,0.103691,0.226381,0.162792
"COVID-19","Northern Africa and Western Asia","routine",0.658563,0.22629,1.07093,0.669027
"COVID-19","Eastern Africa","campaign",0.041282,0.007563,0.077561,0.040947
"COVID-19","Eastern Africa","routine",0.282618,-0.311057,0.879706,0.281495
"COVID-19","Western Africa","campaign",0.046154,0.01574,0.082541,0.044688
"COVID-19","Western Africa","routine",0.399636,0.01673,0.771013,0.398386
"COVID-19","Southern Africa","campaign",0.509909,0.166004,1.272369,0.439161
"COVID-19","Southern Africa","routine",0.146527,-0.876741,1.146587,0.180209
"COVID-19","Central and Southern Asia","campaign",0.309119,0.123135,0.5996,0.280176
"COVID-19","Central and Southern Asia","routine",0.218748,-0.672636,1.041935,0.231618
"COVID-19","Eastern and South-Eastern Asia","campaign",0.103869,0.065413,0.151028,0.102183
"COVID-19","Eastern and South-Eastern Asia","routine",0.189865,0.027787,0.331892,0.191532
"COVID-19","Eastern and Southern Europe","campaign",0.530459,0.381425,0.747279,0.522589
"COVID-19","Eastern and Southern Europe","routine",0.284364,-0.404514,1.005596,0.292318
"COVID-19","Latin America and the Caribbean","campaign",0.409458,0.272005,0.594405,0.398348
"COVID-19","Latin America and the Caribbean","routine",0.292751,-0.032757,0.656844,0.286616
"COVID-19","Oceania","campaign",0.072867,-0.00844,0.172811,0.068375
"COVID-19","Oceania","routine",-0.021951,-1.022216,1.092368,-0.036746
"Cholera","Middle Africa","campaign",0.12123,0.03118,0.241829,0.114869
"Cholera","Northern Africa and Western Asia","campaign",0.245608,0,0.489102,0.224641
"Cholera","Eastern Africa","campaign",0.249205,0.020043,0.551524,0.239406
"Cholera","Western Africa","campaign",0.107161,0.00388,0.208515,0.106241
"Cholera","Central and Southern Asia","campaign",0.026751,0,0.058695,0.027376
"Cholera","Latin America and the Caribbean","campaign",0.37438,0.010675,3.175653,0.088447
"HPV","Middle Africa","campaign",13.723656,8.17297,21.458874,13.610174
"HPV","Middle Africa","routine",14.619359,9.684067,20.913501,14.356808
"HPV","Northern Africa and Western Asia","campaign",7.555072,3.610144,11.610905,7.638317
"HPV","Northern Africa and Western Asia","routine",7.09986,3.62866,10.500856,7.133976
"HPV","Eastern Africa","campaign",20.658978,13.616808,27.459713,20.746478
"HPV","Eastern Africa","routine",22.697841,15.412119,30.144143,22.692356
"HPV","Western Africa","campaign",10.901955,7.980635,14.48763,10.64771
"HPV","Western Africa","routine",12.078893,9.468718,14.998384,12.018101
"HPV","Southern Africa","campaign",15.818064,11.288647,19.86497,16.450969
"HPV","Southern Africa","routine",11.195827,5.713592,16.898659,8.038192
"HPV","Central and Southern Asia","campaign",10.076378,7.934792,11.814158,10.208071
"HPV","Central and Southern Asia","routine",8.746584,6.830433,10.249958,8.746227
"HPV","Eastern and South-Eastern Asia","campaign",5.875101,4.810892,7.592394,5.691576
"HPV","Eastern and South-Eastern Asia","routine",10.576543,6.335629,15.916769,10.516975
"HPV","Eastern and Southern Europe","campaign",6.673231,3.647433,9.839096,6.652953
"HPV","Eastern and Southern Europe","routine",7.039733,4.041556,9.983347,7.476232
"HPV","Latin America and the Caribbean","campaign",10.738679,8.123995,13.248338,11.148048
"HPV","Latin America and the Caribbean","routine",13.907422,10.461163,17.566545,13.847769
