"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",4.890324,3.032006,6.690259,4.901904
"COVID-19","Northern Africa and Western Asia",8.858359,7.726561,10.199104,8.83241
"COVID-19","Eastern Africa",2.823529,2.17169,3.538143,2.805579
"COVID-19","Western Africa",3.251585,2.583878,3.994967,3.235097
"COVID-19","Southern Africa",13.629219,6.289078,25.769568,12.408396
"COVID-19","Central and Southern Asia",9.596731,5.937851,14.860227,9.244543
"COVID-19","Eastern and South-Eastern Asia",3.274266,2.425741,4.29925,3.238907
"COVID-19","Eastern and Southern Europe",10.691367,8.511978,13.283876,10.612878
"COVID-19","Latin America and the Caribbean",12.273317,9.37003,15.943146,12.191366
"COVID-19","Oceania",2.889854,1.508099,4.39353,2.857465
"Cholera","Middle Africa",4.116564,1.068487,6.968774,4.231039
"Cholera","Northern Africa and Western Asia",11.877635,0.109641,23.151473,11.632072
"Cholera","Eastern Africa",8.676724,0.99015,15.889992,8.837966
"Cholera","Western Africa",3.567191,0.192436,6.800205,3.786068
"Cholera","Central and Southern Asia",1.226696,0.005211,2.557163,1.222434
"Cholera","Latin America and the Caribbean",7.985117,0.530328,49.75552,3.519263
"HPV","Middle Africa",557.290831,361.68892,758.374156,554.186335
"HPV","Northern Africa and Western Asia",446.367614,237.229661,651.029318,446.278092
"HPV","Eastern Africa",890.335481,687.84237,1099.789138,889.902043
"HPV","Western Africa",524.7099,299.840985,758.960012,523.394262
"HPV","Southern Africa",503.47861,414.29306,604.306235,502.149883
"HPV","Central and Southern Asia",462.944235,297.006381,645.557049,461.973329
"HPV","Eastern and South-Eastern Asia",413.954184,248.460375,598.90871,410.230766
"HPV","Eastern and Southern Europe",394.43533,262.722906,540.095744,392.015582
"HPV","Latin America and the Caribbean",633.219894,452.89429,823.579874,632.113853
"HPV","Oceania",375.789902,238.686959,678.954154,336.911158
"HepB","Middle Africa",136.101109,71.288904,208.598959,136.325869
"HepB","Northern Africa and Western Asia",108.188109,77.071072,140.854298,107.764873
"HepB","Eastern Africa",158.607023,116.512829,205.140293,157.780226
"HepB","Western Africa",144.63843,115.574101,176.366997,144.135666
"HepB","Southern Africa",146.759302,56.040076,264.160048,149.89996
"HepB","Central and Southern Asia",109.331841,77.819635,142.721051,108.931628
"HepB","Eastern and South-Eastern Asia",190.539788,103.957976,328.530285,190.204014
"HepB","Eastern and Southern Europe",70.992063,46.187217,102.671533,70.028293
"HepB","Latin America and the Caribbean",31.688311,24.07244,40.75752,31.551599
"HepB","Oceania",144.052258,90.376638,219.272659,143.604521
"Hib","Middle Africa",355.880247,228.274062,514.360584,350.126921
"Hib","Northern Africa and Western Asia",109.943935,71.227605,154.630256,109.439209
"Hib","Eastern Africa",197.435107,133.156591,276.151517,197.181544
"Hib","Western Africa",243.397901,161.926973,362.609302,236.930916
"Hib","Southern Africa",78.708105,50.321254,104.972108,79.363801
"Hib","Central and Southern Asia",133.402313,75.489456,220.338261,126.240779
"Hib","Eastern and South-Eastern Asia",72.818118,38.080308,120.230949,69.733664
"Hib","Eastern and Southern Europe",17.757816,10.042761,28.756274,17.648777
"Hib","Latin America and the Caribbean",67.878247,49.116133,87.356855,67.506564
"Hib","Oceania",143.88947,69.824926,250.242277,138.324688
"JE","Central and Southern Asia",50.214833,15.383409,92.67959,50.369611
"JE","Eastern and South-Eastern Asia",107.785923,15.839532,229.827211,105.860705
"JE","Oceania",15.208597,1.451734,32.177847,15.118475
"Malaria","Middle Africa",247.349719,167.05268,346.549447,244.928091
"Malaria","Northern Africa and Western Asia",108.903355,29.856502,273.912216,96.925751
"Malaria","Eastern Africa",174.473463,130.09208,218.782099,174.131599
"Malaria","Western Africa",208.576499,170.006545,257.964901,206.647698
"Measles","Middle Africa",590.492685,494.406405,695.635894,589.350477
"Measles","Northern Africa and Western Asia",315.729453,232.178183,395.437135,314.301851
"Measles","Eastern Africa",438.27284,352.306707,521.594738,437.751796
"Measles","Western Africa",613.254354,496.19973,730.9533,611.116651
"Measles","Southern Africa",193.532104,86.950098,328.306403,189.967906
"Measles","Central and Southern Asia",454.91511,352.931246,564.112022,452.863719
"Measles","Eastern and South-Eastern Asia",256.888521,145.321576,384.887025,258.749058
"Measles","Eastern and Southern Europe",188.952013,124.689529,256.337948,188.377795
"Measles","Latin America and the Caribbean",334.108249,239.148569,439.356922,330.969724
"Measles","Oceania",405.535976,233.211775,617.817714,402.405269
