"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LKA",0.228165,0.117592,0.507952,0.196258
"HPV","LKA",5.363933,4.701588,6.242092,5.325971
"HepB","LKA",5.60006,4.461958,6.972909,5.576811
"Hib","LKA",0.194407,0.103822,0.310556,0.193927
"JE","LKA",0.132116,0.054034,0.256828,0.120943
"Measles","LKA",1.855788,1.368619,2.349673,1.842855
"PCV","LKA",0.152265,-0.410281,0.595757,0.156306
"Rota","LKA",0.028254,-0.114195,0.175481,0.030712
"Rubella","LKA",0.185375,0.046351,0.423786,0.169067
"Typhoid","LKA",0.106664,0.008506,0.474578,0.067342
