"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COM",0.083669,0.03304,0.15033,0.078882
"HPV","COM",19.315898,11.696581,31.616,18.801037
"HepB","COM",5.041979,4.046081,6.167346,5.015287
"Hib","COM",3.482205,2.113909,4.864636,3.5119
"Measles","COM",5.176752,4.066217,6.199234,5.183085
"PCV","COM",2.124026,-4.137567,7.682263,2.239616
"Rota","COM",0.800026,-2.09704,4.053165,0.642655
"Rubella","COM",-0.05527,-0.69875,0.634779,-0.050489
