"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CMR",0.030082,-0.02309,0.080225,0.033456
"Cholera","CMR",0.101311,0.016633,0.474596,0.04327
"HPV","CMR",18.75826,16.176545,21.576961,18.688453
"HepB","CMR",6.365666,5.35636,7.474688,6.338243
"Hib","CMR",4.290282,2.700116,6.860092,4.21046
"Measles","CMR",8.101136,6.590998,9.378213,8.126119
"Meningitis","CMR",0.537408,0.326224,0.739873,0.541074
"PCV","CMR",3.10699,0.556733,5.579932,3.186649
"Rota","CMR",2.048399,0.696797,3.294484,2.027977
"Rubella","CMR",0.071956,-0.147056,0.501667,0.04418
"Typhoid","CMR",3.657374,1.456593,8.894497,3.333279
"YF","CMR",10.1124,2.514113,23.719137,8.785476
