"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AGO",0.038301,0.013408,0.073057,0.03619
"HPV","AGO",11.228879,9.208094,13.513762,11.1752
"HepB","AGO",5.418209,4.302144,6.805423,5.359414
"Hib","AGO",8.627626,4.288788,14.260958,8.536713
"Measles","AGO",12.838779,10.790003,14.393664,12.976632
"PCV","AGO",5.48383,-0.180437,11.896353,5.451575
"Rota","AGO",2.822593,0.054799,5.013567,2.901021
"Rubella","AGO",0.141585,-0.161987,1.025289,0.053046
"Typhoid","AGO",3.76741,1.069312,8.471565,3.402355
"YF","AGO",0.863839,0.263077,1.910205,0.784986
