"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GHA",2.512544,1.129942,4.628884,2.368209
"HPV","GHA",553.335539,433.414985,689.89935,553.024803
"HepB","GHA",154.324355,120.771978,239.532038,147.490813
"Hib","GHA",101.582593,73.210341,137.972205,99.898214
"Measles","GHA",426.030369,327.569859,506.711317,428.894488
"Meningitis","GHA",38.781459,26.31809,52.403867,38.323852
"PCV","GHA",64.39858,4.86104,120.315275,65.242537
"Rota","GHA",38.370011,6.035263,69.086237,39.11174
"Rubella","GHA",26.693066,6.647584,60.491994,24.535485
"Typhoid","GHA",30.713618,5.419172,100.50568,21.843985
"YF","GHA",230.766421,58.215013,554.877634,203.927568
