"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CPV",0.097199,-0.00963,0.226732,0.090168
"HPV","CPV",47.141854,35.52109,58.686015,47.187992
"HepB","CPV",6.516205,5.334301,7.872213,6.447123
"Hib","CPV",0.794198,0.521848,1.139727,0.788637
"Measles","CPV",8.389948,6.292086,10.366996,8.377361
"PCV","CPV",0.555726,-1.580449,2.805756,0.692106
"Rota","CPV",0.142413,-0.099842,0.433511,0.135301
"Rubella","CPV",0.142542,-0.109075,0.550513,0.112679
"Typhoid","CPV",0.694972,0.060869,2.739036,0.442681
