"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Central and Southern Asia","campaign",9.521327,4.158296,19.45554,8.57972
"COVID-19","Central and Southern Asia","routine",0.92717,-0.390113,2.415282,0.982083
"Cholera","Central and Southern Asia","campaign",1.063586,0.813441,1.330361,1.23663
"HPV","Central and Southern Asia","campaign",484.03288,435.719064,539.546677,483.000754
"HPV","Central and Southern Asia","routine",439.863316,396.482532,483.721527,439.645249
"HepB","Central and Southern Asia","routine",108.890855,92.831971,127.374411,108.468664
"Hib","Central and Southern Asia","routine",130.785785,72.942872,189.379486,129.436413
"JE","Central and Southern Asia","campaign",4.104892,1.257261,9.871739,3.296819
"JE","Central and Southern Asia","routine",98.514159,67.246792,132.86475,97.848468
"Measles","Central and Southern Asia","campaign",61.539404,40.172058,78.194137,62.086907
"Measles","Central and Southern Asia","routine",766.909801,634.096932,887.455375,767.206624
"PCV","Central and Southern Asia","routine",85.838773,-33.959799,183.073419,87.69462
"Rota","Central and Southern Asia","routine",32.480424,-9.074767,72.976677,31.794624
"Rubella","Central and Southern Asia","campaign",10.484294,2.474811,22.321618,9.87028
"Rubella","Central and Southern Asia","routine",27.676948,12.898498,39.38167,28.172838
"Typhoid","Central and Southern Asia","campaign",4.777659,1.365156,11.610246,4.127798
"Typhoid","Central and Southern Asia","routine",7.653648,0.69392,30.364397,5.711158
