"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",0.089918,0.030975,0.142294,0.092054
"Cholera","AFG",0.04188,0.031549,0.05582,0.047954
"HPV","AFG",5.445791,4.473439,6.489511,5.434798
"HepB","AFG",7.541993,5.93016,9.182954,7.55921
"Hib","AFG",4.045078,2.205302,6.966734,4.012023
"Measles","AFG",9.955584,8.454689,11.193724,9.994525
"PCV","AFG",2.481461,-0.348175,5.358519,2.493023
"Rota","AFG",1.377896,-0.412532,3.315006,1.34857
"Rubella","AFG",0.368352,0.054335,0.858499,0.332371
"Typhoid","AFG",0.486027,0.024794,3.366097,0.268811
