"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",3.607287,1.961951,5.710227,3.555012
"Cholera","AFG",1.709335,1.307316,2.13808,1.987441
"HPV","AFG",250.707173,211.968491,291.246662,250.714095
"HepB","AFG",158.828813,126.324988,191.536592,158.514623
"Hib","AFG",275.342205,155.201408,467.544249,273.189816
"Measles","AFG",662.992959,567.728592,738.541078,666.121996
"PCV","AFG",171.368505,-12.666013,360.096817,172.103264
"Rota","AFG",88.858061,-26.219304,215.817169,86.721384
"Rubella","AFG",31.589,3.698312,69.120472,29.267367
"Typhoid","AFG",22.053441,1.333719,166.653846,9.332127
