"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PHL",0.066939,0.027879,0.114108,0.065692
"HPV","PHL",5.978942,5.524644,6.452509,5.977453
"HepB","PHL",7.172632,5.735671,9.189112,7.083658
"Hib","PHL",1.214672,0.55051,1.852008,1.192488
"JE","PHL",0.179043,0.083253,0.421385,0.153424
"Measles","PHL",2.877198,2.212844,3.495673,2.87783
"PCV","PHL",0.899803,-0.014923,1.891396,0.896775
"Rota","PHL",0.418667,-1.585903,2.427431,0.279894
"Rubella","PHL",0.246141,0.039695,0.630208,0.22873
"Typhoid","PHL",0.357838,0.045939,1.592132,0.214014
