"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SWZ",2.425349,1.325623,5.03433,2.269743
"HPV","SWZ",1086.42266,943.455603,1239.276446,1085.483741
"HepB","SWZ",120.553633,92.412875,157.079677,118.806576
"Hib","SWZ",97.76956,73.808928,129.865116,96.018908
"Measles","SWZ",138.104627,105.207695,170.979117,137.611331
"PCV","SWZ",58.324425,34.623089,84.418451,57.804433
"Rota","SWZ",49.944672,42.884095,58.274931,49.835367
"Rubella","SWZ",3.081015,-27.053078,52.223929,0.463577
"Typhoid","SWZ",16.001057,1.272418,75.662583,9.118489
