"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","KHM",0.179848,0.081251,0.341962,0.15091
"HPV","KHM",18.441618,15.959357,21.266192,18.387541
"HepB","KHM",7.118393,5.862703,8.591787,7.103358
"Hib","KHM",2.304193,1.278518,3.415618,2.327356
"JE","KHM",0.16187,0.078122,0.32714,0.143553
"Measles","KHM",4.215675,3.27649,5.123049,4.203848
"PCV","KHM",1.525262,-0.10627,3.354145,1.682707
"Rota","KHM",0.310289,-1.262799,2.104994,0.285725
"Rubella","KHM",0.178679,0.068805,0.332203,0.168998
"Typhoid","KHM",0.290594,0.051502,1.20254,0.186259
