"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CUB",0.393096,0.164404,0.781297,0.361278
"HPV","CUB",10.035093,8.238012,11.949653,10.108609
"HepB","CUB",0.706955,0.553754,0.916421,0.692803
"Hib","CUB",0.141935,0.094004,0.19776,0.140058
"Measles","CUB",3.425176,2.483876,4.217789,3.467229
"PCV","CUB",0.121251,-0.251479,0.420108,0.141566
"Rota","CUB",0.014015,-0.032494,0.056541,0.013319
"Rubella","CUB",0.17735,0.018074,0.473941,0.149533
