"disease","country","mean_value","lower_95","upper_95","median_value"
"HPV","ERI",410.966772,337.912852,503.083593,407.526819
"HepB","ERI",147.848122,118.901052,180.159571,146.736163
"Hib","ERI",203.338491,135.425198,284.534054,198.773938
"Measles","ERI",603.615668,472.725235,721.438877,604.348581
"Meningitis","ERI",44.303241,31.450651,59.111912,44.389555
"PCV","ERI",149.582845,-26.085245,324.3854,156.831454
"Rota","ERI",67.041354,29.613527,100.13183,66.696172
"Rubella","ERI",19.013771,1.937307,49.300042,14.726106
"Typhoid","ERI",43.607776,4.537751,356.694419,18.493869
"YF","ERI",76.779934,18.654569,176.202144,69.165235
