"disease","country","mean_value","lower_95","upper_95","median_value"
"HPV","ERI",9.241191,6.883974,12.68907,9.089807
"HepB","ERI",5.305418,4.26917,6.454975,5.269257
"Hib","ERI",2.963553,1.93434,4.181304,2.899846
"Measles","ERI",8.942159,6.959199,10.755631,8.937656
"Meningitis","ERI",0.588695,0.392025,0.782173,0.586348
"PCV","ERI",2.133686,-0.524599,4.795356,2.240467
"Rota","ERI",1.220471,0.628053,1.723304,1.218245
"Rubella","ERI",0.244606,0.035836,0.733081,0.186266
"Typhoid","ERI",1.012404,0.114859,6.581995,0.565662
"YF","ERI",2.182783,0.514832,4.941218,1.964982
