"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CIV",0.049169,0.007912,0.101758,0.046426
"HPV","CIV",14.591441,12.736073,16.669008,14.574392
"HepB","CIV",5.659485,4.318359,7.767726,5.529535
"Hib","CIV",2.111904,0.796258,3.486555,2.113069
"Measles","CIV",11.599624,9.109677,13.922213,11.571251
"Meningitis","CIV",0.676755,0.390073,0.922384,0.68633
"PCV","CIV",0.96404,-0.565027,2.453859,0.999881
"Rota","CIV",0.525484,0.175589,0.927609,0.526587
"Rubella","CIV",0.073632,-0.233135,0.307212,0.100592
"Typhoid","CIV",1.428244,0.204682,4.691917,1.067754
"YF","CIV",7.652396,1.957433,17.899829,6.757773
