"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Oceania",0.038237,-0.012411,0.108053,0.035854
"HPV","Oceania",12.150097,5.991255,26.181152,10.983097
"HepB","Oceania",5.884431,4.987508,6.881838,5.859053
"Hib","Oceania",2.056467,0.987132,3.301883,2.045263
"JE","Oceania",0.063194,0.026096,0.144956,0.054075
"Measles","Oceania",6.058514,4.900831,7.10497,6.040812
"PCV","Oceania",1.246292,-0.751161,2.907238,1.277725
"Rota","Oceania",1.097355,-1.091159,3.264393,1.102614
"Rubella","Oceania",0.37835,0.119975,0.831901,0.333784
"Typhoid","Oceania",6.580353,0.32808,21.405814,5.29053
