"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COL",9.96708,3.010974,20.796854,8.336378
"HPV","COL",331.117411,294.597083,369.092974,329.967443
"HepB","COL",28.110792,22.417548,36.965805,27.555176
"Hib","COL",37.759612,27.240642,52.778289,36.789384
"Measles","COL",266.980903,193.267776,335.910008,267.140469
"PCV","COL",28.367622,10.206588,63.521873,27.004296
"Rota","COL",10.6154,5.321481,16.478446,10.823571
"Rubella","COL",8.626402,1.116659,24.352453,7.176582
"YF","COL",124.569066,35.846573,285.177568,111.667518
