"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GIN",3.102315,1.196538,7.15832,2.803601
"HPV","GIN",843.141037,675.153699,1022.735657,844.284057
"HepB","GIN",221.810875,157.278776,327.476844,213.431681
"Hib","GIN",279.36178,61.77414,511.788691,282.497564
"Measles","GIN",746.603474,631.879152,850.227046,748.583717
"Meningitis","GIN",40.69698,26.841269,53.334216,40.185904
"PCV","GIN",192.305032,-1322.35927,1742.172966,231.828357
"Rota","GIN",93.866126,-412.138489,559.784024,100.540901
"Rubella","GIN",20.516317,-1.423736,71.941122,14.830625
"YF","GIN",292.255585,75.369278,678.486875,258.994992
