"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GIN",0.07489,0.013727,0.186667,0.074938
"HPV","GIN",21.873526,18.503307,25.43008,21.826415
"HepB","GIN",9.502722,6.71033,14.869041,9.082375
"Hib","GIN",4.373632,0.793446,8.187909,4.442733
"Measles","GIN",12.158,10.213509,13.944523,12.177196
"Meningitis","GIN",0.613321,0.402787,0.808848,0.610002
"PCV","GIN",2.925465,-21.758841,28.196303,3.395707
"Rota","GIN",2.064137,-6.190395,9.714999,2.209115
"Rubella","GIN",0.26324,-0.025698,1.07131,0.184959
"YF","GIN",7.59966,1.959462,17.814539,6.732042
