"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","THA",0.622179,0.244184,1.495805,0.542059
"HPV","THA",7.145798,6.476974,7.87288,7.125643
"HepB","THA",5.809208,4.78515,7.149105,5.74004
"Hib","THA",0.192627,-0.248157,0.60792,0.19941
"JE","THA",0.071174,0.038826,0.145649,0.065415
"Measles","THA",3.350296,2.490337,4.243742,3.332943
"PCV","THA",0.152256,-0.329783,0.656183,0.144449
"Rota","THA",0.064797,-0.060835,0.193139,0.063099
"Rubella","THA",0.238884,0.096279,0.471253,0.221643
"Typhoid","THA",0.09934,0.003102,0.392109,0.047963
