"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MDV",0.161246,0.042445,0.330583,0.148558
"HPV","MDV",44.007793,39.402442,48.488026,44.08147
"HepB","MDV",2.061626,1.607907,2.5333,2.057968
"Measles","MDV",3.935178,2.874583,4.91092,3.933092
"Rubella","MDV",0.117107,-0.047774,0.337985,0.106199
